x,E,dE,index,job,run,basis,xc,external_force,ix_c,ix_n,system,frame,error,msg,type,time,d,cwd,resname_c,resname_n,frame_index
0.1947212,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.1996026,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.204484,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2093654,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2142467,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2191281,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2240095,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2288909,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2337723,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2386537,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.243535,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2484164,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2532978,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2581792,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2630606,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.267942,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2728233,7.422028,0.9679888,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2777047,180.4169,2.763474,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2825861,183.271,2.932736,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2874675,179.0908,2.847222,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2923489,176.3654,2.870066,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.2972303,172.1986,2.886912,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3021116,167.8154,2.824858,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.306993,162.8821,2.776806,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3118744,158.0351,2.749991,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3167558,153.07,2.729605,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3216372,148.2414,2.714424,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3265186,143.8656,2.737393,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3313999,140.4044,2.564788,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3362813,137.1867,2.516589,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3411627,134.0285,2.389307,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3460441,131.2173,2.306262,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3509255,127.7093,2.134227,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3558069,124.4915,1.852685,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3606882,122.3393,1.896065,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3655696,120.3466,1.903565,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.370451,118.0123,1.884274,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3753324,116.0468,1.875761,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3802138,113.7627,1.895022,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3850952,111.7449,1.929721,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3899765,109.913,1.953892,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3948579,108.3446,1.864259,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.3997393,106.4501,1.839996,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4046207,104.8131,1.939658,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4095021,104.0693,2.075988,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4143835,102.3332,2.152073,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4192648,101.026,2.130134,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4241462,99.33335,2.129384,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4290276,97.23452,2.079543,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.433909,95.52863,2.073983,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4387904,92.99159,2.077473,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4436718,91.4433,2.046132,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4485532,89.48773,2.128575,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4534345,88.31611,2.273877,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4583159,87.38685,2.235786,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4631973,86.08803,2.18221,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4680787,84.24786,2.243248,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4729601,82.38768,2.268135,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4778415,80.60974,2.215283,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4827228,79.22805,2.219954,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4876042,77.31279,2.222257,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.4924856,75.21381,2.209036,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.497367,72.70778,2.267786,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.5022484,69.82742,2.243623,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.5071298,69.06573,2.241625,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.5120111,66.74017,2.283961,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.5168925,64.78021,2.256321,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.5217739,62.90814,2.266858,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.5266553,60.79971,2.263237,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.5315367,59.14012,2.393237,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.5364181,57.20113,2.451701,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.5412994,54.88861,2.39928,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.5461808,53.88148,2.37395,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.5510622,52.98788,2.431825,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
0.5559436,50.97498,2.506899,0,wethyd,run_6,TZV2P-MOLOPT-GTH,PBE,603,178,180,single,96,True,Fatal error:\nPull reference distance for coordinate 3 (-0.000216) needs to be non-negative\n\n,Error.GmxError,1.55,0.135921,run_6/f-603/ixs-178-180/single/frame-96,GLY842,LEU843,1
